TIMESTAMP,ECG
2023-12-11 02:17:52.654826771+00:00,-57
2023-12-11 02:17:52.662700787+00:00,-58
2023-12-11 02:17:52.670574803+00:00,-56
2023-12-11 02:17:52.678448818+00:00,-71
2023-12-11 02:17:52.686322834+00:00,-100
2023-12-11 02:17:52.694196850+00:00,26
2023-12-11 02:17:52.702070866+00:00,495
2023-12-11 02:17:52.709944881+00:00,757
2023-12-11 02:17:52.717818897+00:00,179
2023-12-11 02:17:52.725692913+00:00,-140
2023-12-11 02:17:52.733566929+00:00,-165
2023-12-11 02:17:52.741440944+00:00,-104
2023-12-11 02:17:52.749314960+00:00,-77
2023-12-11 02:17:52.757188976+00:00,-82
2023-12-11 02:17:52.765062992+00:00,-74
2023-12-11 02:17:52.772937007+00:00,-77
2023-12-11 02:17:52.780811023+00:00,-69
2023-12-11 02:17:52.788685039+00:00,-63
2023-12-11 02:17:52.796559055+00:00,-67
2023-12-11 02:17:52.804433070+00:00,-55
2023-12-11 02:17:52.812307086+00:00,-57
2023-12-11 02:17:52.820181102+00:00,-53
2023-12-11 02:17:52.828055118+00:00,-53
2023-12-11 02:17:52.835929133+00:00,-48
2023-12-11 02:17:52.843803149+00:00,-45
2023-12-11 02:17:52.851677165+00:00,-44
2023-12-11 02:17:52.859551181+00:00,-39
2023-12-11 02:17:52.867425196+00:00,-40
2023-12-11 02:17:52.875299212+00:00,-35
2023-12-11 02:17:52.883173228+00:00,-30
2023-12-11 02:17:52.891047244+00:00,-26
2023-12-11 02:17:52.898921259+00:00,-24
2023-12-11 02:17:52.906795275+00:00,-15
2023-12-11 02:17:52.914669291+00:00,-20
2023-12-11 02:17:52.922543307+00:00,-6
2023-12-11 02:17:52.930417322+00:00,3
2023-12-11 02:17:52.938291338+00:00,9
2023-12-11 02:17:52.946165354+00:00,27
2023-12-11 02:17:52.954039370+00:00,35
2023-12-11 02:17:52.961913385+00:00,49
2023-12-11 02:17:52.969787401+00:00,62
2023-12-11 02:17:52.977661417+00:00,71
2023-12-11 02:17:52.985535433+00:00,84
2023-12-11 02:17:52.993409448+00:00,84
2023-12-11 02:17:53.001283464+00:00,87
2023-12-11 02:17:53.009157480+00:00,90
2023-12-11 02:17:53.017031496+00:00,80
2023-12-11 02:17:53.024905511+00:00,78
2023-12-11 02:17:53.032779527+00:00,73
2023-12-11 02:17:53.040653543+00:00,69
2023-12-11 02:17:53.048527559+00:00,59
2023-12-11 02:17:53.056401574+00:00,41
2023-12-11 02:17:53.064275590+00:00,29
2023-12-11 02:17:53.072149606+00:00,17
2023-12-11 02:17:53.080023622+00:00,7
2023-12-11 02:17:53.087897637+00:00,2
2023-12-11 02:17:53.095771653+00:00,-5
2023-12-11 02:17:53.103645669+00:00,-13
2023-12-11 02:17:53.111519685+00:00,-12
2023-12-11 02:17:53.119393700+00:00,-17
2023-12-11 02:17:53.127267716+00:00,-16
2023-12-11 02:17:53.135141732+00:00,-17
2023-12-11 02:17:53.143015748+00:00,-17
2023-12-11 02:17:53.150889763+00:00,-18
2023-12-11 02:17:53.158763779+00:00,-23
2023-12-11 02:17:53.166637795+00:00,-19
2023-12-11 02:17:53.174511811+00:00,-21
2023-12-11 02:17:53.182385826+00:00,-27
2023-12-11 02:17:53.190259842+00:00,-27
2023-12-11 02:17:53.198133858+00:00,-33
2023-12-11 02:17:53.206007874+00:00,-36
2023-12-11 02:17:53.213881889+00:00,-37
2023-12-11 02:17:53.221755905+00:00,-38
2023-12-11 02:17:53.229629921+00:00,-31
2023-12-11 02:17:53.237503937+00:00,-34
2023-12-11 02:17:53.245377952+00:00,-30
2023-12-11 02:17:53.253251968+00:00,-33
2023-12-11 02:17:53.261125984+00:00,-31
2023-12-11 02:17:53.269000+00:00,-27
2023-12-11 02:17:53.269000+00:00,-37
2023-12-11 02:17:53.276874015+00:00,-34
2023-12-11 02:17:53.284748031+00:00,-33
2023-12-11 02:17:53.292622047+00:00,-39
2023-12-11 02:17:53.300496062+00:00,-40
2023-12-11 02:17:53.308370078+00:00,-42
2023-12-11 02:17:53.316244094+00:00,-43
2023-12-11 02:17:53.324118110+00:00,-40
2023-12-11 02:17:53.331992125+00:00,-45
2023-12-11 02:17:53.339866141+00:00,-39
2023-12-11 02:17:53.347740157+00:00,-40
2023-12-11 02:17:53.355614173+00:00,-42
2023-12-11 02:17:53.363488188+00:00,-41
2023-12-11 02:17:53.371362204+00:00,-34
2023-12-11 02:17:53.379236220+00:00,-22
2023-12-11 02:17:53.387110236+00:00,-10
